Timestamp,Source,Destination,Protocol,Length
2019-01-17 18:29:10.478966,26.59.126.31,184.255.249.146,TCP,1504
2019-01-17 18:29:10.478967,26.59.126.31,184.255.249.146,TCP,568
2019-01-17 18:29:10.478968,25.31.59.59,161.90.125.212,TCP,50
2019-01-17 18:29:10.478968,198.217.248.222,180.222.92.231,_WS.SHORT,451
2019-01-17 18:29:10.478969,30.216.205.120,179.163.203.197,_WS.SHORT,639
2019-01-17 18:29:10.478973,139.51.135.51,180.120.247.95,TCP,56
2019-01-17 18:29:10.478973,197.231.64.168,161.190.183.252,_WS.SHORT,52
2019-01-17 18:29:10.478973,13.51.194.229,173.196.52.134,_WS.SHORT,355
2019-01-17 18:29:10.478974,169.250.86.182,143.143.186.189,_WS.SHORT,78
2019-01-17 18:29:10.478975,160.80.143.246,162.102.127.27,TCP,1504
2019-01-17 18:29:10.478976,160.80.143.246,162.102.127.27,TCP,1504
2019-01-17 18:29:10.478979,160.80.143.246,162.102.127.27,TCP,1504
2019-01-17 18:29:10.478980,160.80.143.246,162.102.127.27,TCP,604
2019-01-17 18:29:10.478980,99.69.8.24,169.77.39.52,_WS.SHORT,246
2019-01-17 18:29:10.478981,52.223.227.38,146.55.105.98,TCP,1476
2019-01-17 18:29:10.478982,169.250.86.229,162.67.190.160,_WS.SHORT,360
2019-01-17 18:29:10.478984,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.478985,52.223.227.38,146.55.105.98,TCP,1476
2019-01-17 18:29:10.478987,162.198.31.174,175.241.100.25,ICMP,64
2019-01-17 18:29:10.478987,52.223.227.38,146.55.105.98,TCP,1476
2019-01-17 18:29:10.478992,146.206.101.241,175.241.100.25,ICMP,64
2019-01-17 18:29:10.478995,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.478996,52.223.227.38,146.55.105.98,TCP,1476
2019-01-17 18:29:10.478997,213.5.4.231,161.72.151.9,TCP,1484
2019-01-17 18:29:10.478998,146.206.111.232,175.241.100.25,ICMP,64
2019-01-17 18:29:10.478998,85.50.234.102,161.34.216.55,TCP,50
2019-01-17 18:29:10.479000,52.223.227.38,146.55.105.98,TCP,1476
2019-01-17 18:29:10.479003,213.5.4.231,161.72.151.9,TCP,1484
2019-01-17 18:29:10.479006,52.223.227.38,146.55.105.98,TCP,1476
2019-01-17 18:29:10.479007,92.232.218.253,161.55.87.108,_WS.SHORT,1460
2019-01-17 18:29:10.479012,169.30.145.39,45.170.192.27,TCP,1484
2019-01-17 18:29:10.479013,52.223.227.38,146.55.105.98,TCP,1476
2019-01-17 18:29:10.479015,77.108.152.208,203.127.163.111,TCP,1504
2019-01-17 18:29:10.479016,67.227.178.252,161.158.21.157,TCP,50
2019-01-17 18:29:10.479017,169.30.145.39,45.170.192.27,TCP,1484
2019-01-17 18:29:10.479018,198.193.70.97,175.241.103.221,_WS.SHORT,1044
2019-01-17 18:29:10.479019,95.194.38.106,182.250.166.254,_WS.SHORT,1457
2019-01-17 18:29:10.479020,49.179.41.96,161.190.179.66,_WS.SHORT,353
2019-01-17 18:29:10.479020,177.79.13.178,66.35.161.128,TCP,68
2019-01-17 18:29:10.479020,52.223.227.38,146.55.105.98,TCP,1476
2019-01-17 18:29:10.479022,95.194.38.106,182.250.166.254,_WS.SHORT,1457
2019-01-17 18:29:10.479023,128.55.242.162,161.31.211.8,_WS.SHORT,50
2019-01-17 18:29:10.479023,52.93.84.154,175.84.146.118,TCP,1504
2019-01-17 18:29:10.479024,6.178.41.155,179.163.203.221,_WS.SHORT,88
2019-01-17 18:29:10.479024,47.52.217.101,161.159.175.233,TCP,56
2019-01-17 18:29:10.479024,55.33.47.51,45.236.211.237,TCP,56
2019-01-17 18:29:10.479025,52.93.84.154,175.84.146.118,TCP,1504
2019-01-17 18:29:10.479026,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479027,46.91.74.24,162.67.233.38,TCP,56
2019-01-17 18:29:10.479027,178.4.124.44,161.80.83.97,_WS.SHORT,1380
2019-01-17 18:29:10.479029,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479030,128.55.246.143,161.30.51.60,_WS.SHORT,50
2019-01-17 18:29:10.479030,77.108.152.208,203.127.163.111,TCP,1504
2019-01-17 18:29:10.479032,52.79.76.201,175.84.160.6,TCP,284
2019-01-17 18:29:10.479032,34.254.125.145,136.34.216.182,TCP,56
2019-01-17 18:29:10.479032,87.137.189.229,203.121.202.108,TCP,50
2019-01-17 18:29:10.479034,108.97.181.77,179.163.203.214,_WS.SHORT,75
2019-01-17 18:29:10.479034,34.233.225.6,180.222.92.178,TCP,1404
2019-01-17 18:29:10.479035,34.233.225.6,180.222.92.178,TCP,1404
2019-01-17 18:29:10.479040,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.479041,89.84.167.105,175.73.89.60,TCP,1484
2019-01-17 18:29:10.479043,67.227.178.252,161.158.21.157,TCP,50
2019-01-17 18:29:10.479043,181.184.95.139,180.211.3.128,TCP,85
2019-01-17 18:29:10.479045,199.228.116.23,170.223.11.195,TCP,50
2019-01-17 18:29:10.479050,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479052,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479053,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.479054,67.227.178.252,182.237.77.185,TCP,56
2019-01-17 18:29:10.479058,52.93.84.154,175.84.146.118,TCP,1504
2019-01-17 18:29:10.479059,52.93.84.154,175.84.146.118,TCP,146
2019-01-17 18:29:10.479059,194.157.96.131,162.99.124.81,TCP,50
2019-01-17 18:29:10.479060,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479064,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.479065,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479073,94.21.84.159,158.48.141.195,_WS.SHORT,125
2019-01-17 18:29:10.479074,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479075,186.57.117.190,175.240.28.216,TCP,1504
2019-01-17 18:29:10.479076,218.183.129.15,175.73.254.76,TCP,1504
2019-01-17 18:29:10.479078,169.99.118.83,146.55.105.99,TCP,56
2019-01-17 18:29:10.479081,154.1.207.104,161.55.86.113,TCP,315
2019-01-17 18:29:10.479082,153.61.2.225,66.35.161.128,TCP,56
